headline,date,section,url,word_count,id
"Byrd, at 85, Fills the Forum With Romans and Wrath",11/20/02,Front Page; U.S.,http://www.nytimes.com/2002/11/20/us/threats-responses-senate-byrd-85-fills-forum-with-romans-wrath.html,930,3001
Global Terrorism Warning,11/21/02,World,http://www.nytimes.com/2002/11/21/world/threats-and-responses-global-terrorism-warning.html,76,3002
"Covering 10,000 Miles Seeking an Elusive Enemy",11/21/02,Arts,http://www.nytimes.com/2002/11/21/arts/television-review-covering-10000-miles-seeking-an-elusive-enemy.html,438,3003
Gore Says Bush's War on Terrorism Is Ineffective,11/21/02,U.S.; Books,http://www.nytimes.com/2002/11/21/us/gore-says-bush-s-war-on-terrorism-is-ineffective.html,1314,3004
Winning the Peace in Afghanistan,11/21/02,Opinion,http://www.nytimes.com/2002/11/21/opinion/winning-the-peace-in-afghanistan.html,365,3005
A Call to Arms: Bush's Plea on Iraq,11/21/02,World; Washington,http://www.nytimes.com/2002/11/21/world/threats-and-responses-rallying-support-a-call-to-arms-bush-s-plea-on-iraq.html,1031,3006
A MAJOR SUSPECT IN QAEDA ATTACKS IS IN U.S. CUSTODY,11/22/02,World; Front Page; Washington,http://www.nytimes.com/2002/11/22/world/threats-responses-terror-network-major-suspect-qaeda-attacks-us-custody.html,1253,3007
Inside Bush's War Room,11/22/02,Arts; Books,http://www.nytimes.com/2002/11/22/books/books-of-the-times-inside-bush-s-war-room.html,1254,3008
Gerstner to Be Chairman of Carlyle Group,11/22/02,Business,http://www.nytimes.com/2002/11/22/business/gerstner-to-be-chairman-of-carlyle-group.html,622,3009
U.S. Evangelist Is Shot Dead in an Attack in Lebanon,11/22/02,World,http://www.nytimes.com/2002/11/22/world/threats-responses-americans-abroad-us-evangelist-shot-dead-attack-lebanon.html,716,3010
PUTIN QUESTIONS U.S. TERROR ALLIES,11/23/02,World; Front Page,http://www.nytimes.com/2002/11/23/world/threats-and-responses-the-president-putin-questions-us-terror-allies.html,1198,3011
Do We Have to Call You Al?,11/23/02,Opinion,http://www.nytimes.com/2002/11/23/opinion/do-we-have-to-call-you-al.html,1462,3012
NEWS SUMMARY,11/23/02,New York and Region,http://www.nytimes.com/2002/11/23/nyregion/news-summary-057371.html,1140,3013
U.S. Says Capture of a Qaeda Leader May Provide Clues to Thwarting Terror Attacks,11/23/02,World,http://www.nytimes.com/2002/11/23/world/threats-responses-investigation-us-says-capture-qaeda-leader-may-provide-clues.html,522,3014
November 17-23: INTERNATIONAL; BIN LADEN ON TAPE,11/24/02,Week in Review,http://www.nytimes.com/2002/11/24/weekinreview/november-17-23-international-bin-laden-on-tape.html,87,3015
The Military; U.S. at Work at Saudi Base but War Role Is Uncertain,11/24/02,World,http://www.nytimes.com/2002/11/24/world/the-military-us-at-work-at-saudi-base-but-war-role-is-uncertain.html,759,3016
"In North Korea and Pakistan, Deep Roots of Nuclear Barter",11/24/02,World; Washington,http://www.nytimes.com/2002/11/24/world/threats-responses-alliances-north-korea-pakistan-deep-roots-nuclear-barter.html,2719,3017
Whose Hands Are Dirty?,11/25/02,Health; Opinion,http://www.nytimes.com/2002/11/25/opinion/whose-hands-are-dirty.html,716,3018
An Iraq War Won't Destabilize the Mideast,11/26/02,Opinion,http://www.nytimes.com/2002/11/26/opinion/an-iraq-war-won-t-destabilize-the-mideast.html,861,3019
Ready to Vote Denim Over White Collar,11/26/02,New York and Region,http://www.nytimes.com/2002/11/26/nyregion/ready-to-vote-denim-over-white-collar.html,875,3020
Terror Money,11/26/02,Opinion,http://www.nytimes.com/2002/11/26/opinion/terror-money.html,377,3021
Drug Companies And the Homeland,11/27/02,Opinion,http://www.nytimes.com/2002/11/27/opinion/l-drug-companies-and-the-homeland-119130.html,141,3022
Bush Officials Praise Saudis For Aiding Terror Fight,11/27/02,World; Washington,http://www.nytimes.com/2002/11/27/world/threats-responses-alliances-bush-officials-praise-saudis-for-aiding-terror-fight.html,735,3023
NEWS SUMMARY,11/28/02,New York and Region,http://www.nytimes.com/2002/11/28/nyregion/news-summary-137464.html,957,3024
Germany Agrees to Share Evidence Against 9/11 Defendant,11/28/02,U.S.,http://www.nytimes.com/2002/11/28/us/threats-responses-legal-tactics-germany-agrees-share-evidence-against-9-11.html,326,3025
Pakistani Who Treated bin Laden Is Questioned by U.S.,11/28/02,World; Washington,http://www.nytimes.com/2002/11/28/world/threats-responses-qaeda-trail-pakistani-who-treated-bin-laden-questioned-us.html,921,3026
12 Die as Israelis Are Attacked in Kenya,11/29/02,World; Front Page,http://www.nytimes.com/2002/11/29/world/terror-in-africa-the-attacks-12-die-as-israelis-are-attacked-in-kenya.html,1600,3027
