headline,date,section,url,word_count
The Afghan Front: Lessons of Vietnam,2001-11-01,Opinion,http://www.nytimes.com/2001/11/01/opinion/l-the-afghan-front-lessons-of-vietnam-965642.html,77
Pakistan Atom Experts Held Amid Fear of Leaked Secrets,2001-11-01,World; Front Page; Washington,http://www.nytimes.com/2001/11/01/world/nation-challenged-nuclear-fears-pakistan-atom-experts-held-amid-fear-leaked.html,1054
Rising Muslim Power in Africa Causes Unrest in Nigeria and Elsewhere,2001-11-01,World; Washington,http://www.nytimes.com/2001/11/01/world/rising-muslim-power-in-africa-causes-unrest-in-nigeria-and-elsewhere.html,2321
U.S. Says 3 Detainees May Be Tied to Hijackings,2001-11-01,Front Page; U.S.,http://www.nytimes.com/2001/11/01/us/nation-challenged-investigation-us-says-3-detainees-may-be-tied-hijackings.html,1056
A Nation Challenged,2001-11-01,New York and Region,http://www.nytimes.com/2001/11/01/nyregion/a-nation-challenged-966363.html,1094
U.N. Acting to Keep Somalia From Becoming a Terrorist Haven,2001-11-01,World,http://www.nytimes.com/2001/11/01/world/un-acting-to-keep-somalia-from-becoming-a-terrorist-haven.html,405
Saudis Freeze Funds Of 66 on U.S. List,2001-11-01,World,http://www.nytimes.com/2001/11/01/world/a-nation-challenged-saudis-freeze-funds-of-66-on-us-list.html,199
U.S. Will Increase Number of Advisers in Afghanistan,2001-11-01,World; Front Page; Washington,http://www.nytimes.com/2001/11/01/world/nation-challenged-pentagon-us-will-increase-number-advisers-afghanistan.html,1059
"Plan for More G.I.'s on the Ground, Economic Slump, Anthrax Unease",2001-11-01,World,http://www.nytimes.com/2001/11/01/world/nation-challenged-overview-oct-31-2001-plan-for-more-gi-s-ground-economic-slump.html,738
"Threat of Nuclear Terror Has Increased, Official Says",2001-11-02,World,http://www.nytimes.com/2001/11/02/world/nation-challenged-atomic-anxiety-threat-nuclear-terror-has-increased-official.html,960
"Threat of Nuclear Terror Has Increased, Official Says",2001-11-02,World,http://www.nytimes.com/2001/11/02/world/nation-challenged-atomic-anxiety-threat-nuclear-terror-has-increased-official.html,960
Getting Ready for a Ground War,2001-11-02,Opinion,http://www.nytimes.com/2001/11/02/opinion/getting-ready-for-a-ground-war.html,555
A Nation Challenged,2001-11-02,New York and Region,http://www.nytimes.com/2001/11/02/nyregion/a-nation-challenged-986860.html,1085
U.S. Groups Have Some Ties to Germ Warfare,2001-11-02,U.S.,http://www.nytimes.com/2001/11/02/us/a-nation-challenged-hate-groups-us-groups-have-some-ties-to-germ-warfare.html,1346
Turkey Says Troops to Join U.S. Campaign and Train Anti-Taliban Forces,2001-11-02,World,http://www.nytimes.com/2001/11/02/world/nation-challenged-ankara-turkey-says-troops-join-us-campaign-train-anti-taliban.html,975
Bin Laden Letter Calls Upon Pakistanis to Defend Islam,2001-11-02,World,http://www.nytimes.com/2001/11/02/world/nation-challenged-jihad-message-bin-laden-letter-calls-upon-pakistanis-defend.html,527
"In Overheard Calls, Terrorists Spoke of Major Attack, Officials Say",2001-11-02,U.S.,http://www.nytimes.com/2001/11/02/us/nation-challenged-alert-overheard-calls-terrorists-spoke-major-attack-officials.html,811
New Head of Mosque Wants Proof,2001-11-02,Washington; New York and Region,http://www.nytimes.com/2001/11/02/nyregion/a-nation-challenged-the-imam-new-head-of-mosque-wants-proof.html,938
"Foreign Affairs; One War, Two Fronts",2001-11-02,Opinion,http://www.nytimes.com/2001/11/02/opinion/foreign-affairs-one-war-two-fronts.html,784
"Pakistani Atomic Expert, Arrested Last Week, Had Strong Pro-Taliban Views",2001-11-02,World,http://www.nytimes.com/2001/11/02/world/nation-challenged-nuclear-fears-pakistani-atomic-expert-arrested-last-week-had.html,1382
Blair Tries to Lift Mideast Peace Talks From 'Low Point',2001-11-02,World,http://www.nytimes.com/2001/11/02/world/blair-tries-to-lift-mideast-peace-talks-from-low-point.html,759
Terror Inquiry Is Using Law On Sedition,2001-11-02,New York and Region,http://www.nytimes.com/2001/11/02/nyregion/a-nation-challenged-the-investigation-terror-inquiry-is-using-law-on-sedition.html,531
Metro Briefing | New York: Manhattan: Prosecutor Named To Terror Unit,2001-11-02,New York and Region,http://www.nytimes.com/2001/11/02/nyregion/metro-briefing-new-york-manhattan-prosecutor-named-to-terror-unit.html,106
A Partnership Forged To Thwart Terrorism,2001-11-02,U.S.,http://www.nytimes.com/2001/11/02/us/a-nation-challenged-the-fbi-a-partnership-forged-to-thwart-terrorism.html,1746
Trouble in Deploying Commandos Is Said to Hurt U.S. Air Campaign,2001-11-02,World; Front Page; Washington,http://www.nytimes.com/2001/11/02/world/nation-challenged-battle-trouble-deploying-commandos-said-hurt-us-air-campaign.html,1192
"Without U.S. Support, Pashtun Rebel Leader Is Finding Few Allies",2001-11-03,World,http://www.nytimes.com/2001/11/03/world/nation-challenged-opposition-without-us-support-pashtun-rebel-leader-finding-few.html,928
Experts Agree On the Need To Safeguard Nuclear Sites,2001-11-03,World,http://www.nytimes.com/2001/11/03/world/nation-challenged-security-experts-agree-need-safeguard-nuclear-sites.html,667
U.S. Widens Net to Snare Terror Assets; Expands List,2001-11-03,World; Washington,http://www.nytimes.com/2001/11/03/world/nation-challenged-money-trail-us-widens-net-snare-terror-assets-expands-list.html,1000
Experts on Islam Pointing Fingers At One Another,2001-11-03,Arts,http://www.nytimes.com/2001/11/03/arts/experts-on-islam-pointing-fingers-at-one-another.html,1336
Turkey Arrests 5 It Says Tried to Join Al Qaeda,2001-11-03,World,http://www.nytimes.com/2001/11/03/world/a-nation-challenged-turkey-arrests-5-it-says-tried-to-join-al-qaeda.html,204
Palestinians on Terror,2001-11-03,Opinion,http://www.nytimes.com/2001/11/03/opinion/l-palestinians-on-terror-991937.html,122
U.S. Widens Search For Terrorist Assets,2001-11-03,World; Front Page,http://www.nytimes.com/2001/11/03/world/us-widens-search-for-terrorist-assets.html,89
U.S. Orders New Aid to Help Avert Famine in Afghanistan,2001-11-03,World,http://www.nytimes.com/2001/11/03/world/a-nation-challenged-relief-us-orders-new-aid-to-help-avert-famine-in-afghanistan.html,713
An Indian Novelist Turns Her Wrath on the U.S.,2001-11-03,World; Washington; Books,http://www.nytimes.com/2001/11/03/world/an-indian-novelist-turns-her-wrath-on-the-us.html,1204
Correspondent; Up With Moguls! Exploit the Rich!,2001-11-03,Opinion,http://www.nytimes.com/2001/11/03/opinion/correspondent-up-with-moguls-exploit-the-rich.html,1432
A Nation Challenged,2001-11-03,New York and Region,http://www.nytimes.com/2001/11/03/nyregion/a-nation-challenged-007811.html,1108
Pakistan Releases 3 Scientists Questioned on Ties to Taliban,2001-11-03,World,http://www.nytimes.com/2001/11/03/world/nation-challenged-nuclear-expertise-pakistan-releases-3-scientists-questioned.html,431
"More and More, Other Countries See the War as Solely America's",2001-11-04,World; Washington,http://www.nytimes.com/2001/11/04/world/nation-challenged-world-more-more-other-countries-see-war-solely-america-s.html,1486
"Bin Laden, in a Taped Speech, Says Attacks in Afghanistan Are a War Against Islam",2001-11-04,World; Washington,http://www.nytimes.com/2001/11/04/world/nation-challenged-video-bin-laden-taped-speech-says-attacks-afghanistan-are-war.html,837
