headline,date,section,url,word_count
"In These Portraits, a Challenge to Labels of ‘Sitter’ and ‘Artist’",2011-05-01,N.Y. / Region,http://www.nytimes.com/2011/05/01/nyregion/in-these-portraits-a-challenge-to-labels-of-sitter-and-artist.html,1129
Live Video of President Obama's Address,2011-05-01,,http://thelede.blogs.nytimes.com/2011/05/01/live-video-of-president-obamas-address/,88
"Bin Laden Is Dead, President Obama Says",2011-05-01,World,http://atwar.blogs.nytimes.com/2011/05/01/bin-laden-is-dead-u-s-official-says/,333
How the Bin Laden Announcement Leaked Out,2011-05-01,Business,http://mediadecoder.blogs.nytimes.com/2011/05/01/how-the-osama-announcement-leaked-out/,570
Obama Announces Killing of Osama bin Laden,2011-05-01,,http://thelede.blogs.nytimes.com/2011/05/01/bin-laden-dead-u-s-official-says/,373
Death of a Failure,2011-05-02,Opinion,http://www.nytimes.com/2011/05/02/opinion/02douthat.html,749
"Bin Laden Is Dead, Obama Says",2011-05-02,World,http://www.nytimes.com/2011/05/02/world/asia/osama-bin-laden-is-killed.html,2122
The Most Wanted Face of Terrorism,2011-05-02,World,http://www.nytimes.com/2011/05/02/world/02osama-bin-laden-obituary.html,5152
Obama’s Remarks on Bin Laden’s Killing,2011-05-02,World,http://www.nytimes.com/2011/05/02/world/middleeast/02obama-text.html,1410
"Amid Cheers, a Message: ‘They Will Be Caught’",2011-05-02,N.Y. / Region,http://www.nytimes.com/2011/05/02/nyregion/amid-cheers-a-message-they-will-be-caught.html,991
Text of President Obama’s Speech,2011-05-02,U.S.,http://www.nytimes.com/2011/05/02/us/politics/02text.html,1421
President’s Vow Fulfilled,2011-05-02,U.S.,http://www.nytimes.com/2011/05/02/us/politics/osama-bin-laden-a-prize-and-a-victory.html,886
"On Social Networking Sites, Presidential Mystery Does Not Wait for the President",2011-05-02,Business Day,http://www.nytimes.com/2011/05/02/business/media/02media.html,538
"Mets Win on Field in 14 Innings, but Big News Was Buzzing in the Crowd",2011-05-02,Sports,http://www.nytimes.com/2011/05/02/sports/baseball/02mets.html,1089
Detective Work on Courier Led to Breakthrough on Bin Laden,2011-05-02,World,http://www.nytimes.com/2011/05/02/world/asia/02reconstruct-capture-osama-bin-laden.html,1101
U.S. Warns Americans Abroad of Possible Reprisals,2011-05-02,World,http://www.nytimes.com/2011/05/02/world/02warning-americans-abroad-.html,133
Milestones: Osama Bin Laden,2011-05-02,World,http://www.nytimes.com/interactive/2011/05/02/world/20110502-osama-timeline.html,16
"Around the World, Joy and Contemplation",2011-05-02,World,http://www.nytimes.com/slideshow/2011/05/02/world/20110502_REAX.html,26
How Osama bin Laden Was Located and Killed,2011-05-02,World,http://www.nytimes.com/interactive/2011/05/02/world/asia/abbottabad-map-of-where-osama-bin-laden-was-killed.html,723
Osama bin Laden Killed by U.S. Forces in Pakistan,2011-05-02,World,http://www.nytimes.com/slideshow/2011/05/02/world/asia/20110503_BINLADEN.html,24
Readers’ Photos: Reactions to Bin Laden’s Death,2011-05-02,U.S.,http://www.nytimes.com/slideshow/2011/05/02/us/20110503_BINLADENREADERS.html,50
From the Front Lines,2011-05-02,U.S.,http://www.nytimes.com/interactive/2011/05/02/us/soldier-reaction-bin-laden.html,16
"On Social Networking Sites, Presidential Mystery Does Not Wait for the President",2011-05-02,World,http://query.nytimes.com/gst/fullpage.html?res=9C04EFDD1F30F931A35756C0A9679D8B63,546
After Osama Bin Laden...,2011-05-02,Opinion,http://kristof.blogs.nytimes.com/2011/05/02/after-osama-bin-laden/,1161
"Updates on Bin Laden's Death, May 2",2011-05-02,,http://thelede.blogs.nytimes.com/2011/05/02/following-the-reaction-to-bin-ladens-death/,11825
"After Killing of Bin Laden, Official Reaction Pours In",2011-05-02,U.S.,http://thecaucus.blogs.nytimes.com/2011/05/02/after-killing-of-bin-laden-reaction-pours-in/,1522
Obama Announces Death of Osama bin Laden,2011-05-02,World,http://www.nytimes.com/video/world/asia/100000000799358/obama-announces-death-of-osama-bin-laden.html,26
"Yes, Bin Laden's Death Will Help Obama, but for How Long?",2011-05-02,U.S.,http://fivethirtyeight.blogs.nytimes.com/2011/05/02/yes-bin-ladens-death-will-help-obama-but-for-how-long/,477
TimesCast | Bin Laden Killed,2011-05-02,Multimedia/Photos,http://www.nytimes.com/video/multimedia/100000000799453/timescast--bin-laden-killed.html,24
Timeline: The Intelligence Work Behind Bin Laden's Death,2011-05-02,U.S.,http://thecaucus.blogs.nytimes.com/2011/05/02/timeline-the-intelligence-work-behind-bin-ladens-death/,303
TimesCast | The Search For Bin Laden,2011-05-02,World,http://www.nytimes.com/video/world/100000000799521/timescast--the-search-for-bin-laden.html,23
'Justice Has Been Done',2011-05-02,U.S.,http://learning.blogs.nytimes.com/2011/05/02/justice-has-been-done/,122
U.S. Networks Scramble on News of Bin Laden's Death,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/u-s-networks-scramble-on-news-of-bin-ladens-death/,834
What Is Your Reaction to the Death of Osama bin Laden?,2011-05-02,U.S.,http://learning.blogs.nytimes.com/2011/05/02/what-is-your-reaction-to-the-death-of-osama-bin-laden/,355
"In Bin Laden Announcement, Echoes of 2007 Obama Speech",2011-05-02,U.S.,http://thecaucus.blogs.nytimes.com/2011/05/02/in-bin-laden-announcement-echoes-of-2007-obama-speech/,722
Thoughts on Bin Laden's Death After 10 Years at War,2011-05-02,World,http://atwar.blogs.nytimes.com/2011/05/02/thoughts-on-bin-ladens-death-after-10-years-at-war/,175
"Morning Buzz | Celebration, and Vigilance, After Bin Laden's Death",2011-05-02,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/05/02/morning-buzz-celebration-and-vigilance-after-bin-ladens-death/,652
The Thing That Scared Us,2011-05-02,Opinion,http://dotearth.blogs.nytimes.com/2011/05/02/the-thing-that-scared-us/,314
Obama's Remarks on Birth Certificate Take on New Meaning,2011-05-02,U.S.,http://thecaucus.blogs.nytimes.com/2011/05/02/obamas-remarks-on-birth-certificate-controversy-take-on-new-meaning/,258
Scott Brown Headed to Afghanistan for National Guard Training,2011-05-02,,http://thecaucus.blogs.nytimes.com/2011/05/02/scott-brown-headed-to-afghanistan-for-national-guard-duty/,150
ABC Says Video Shows Bin Laden Compound,2011-05-02,Business,http://mediadecoder.blogs.nytimes.com/2011/05/02/abc-says-video-shows-bin-laden-compound/,296
