headline,date,section,url,word_count
"The Nation; Even for $25 Million, Still No Osama bin Laden",2002-12-01,Week in Review,http://www.nytimes.com/2002/12/01/weekinreview/the-nation-even-for-25-million-still-no-osama-bin-laden.html,1166
U.S. and Philippines May Start New Training Mission,2002-12-01,World; Washington,http://www.nytimes.com/2002/12/01/world/threats-responses-asian-arena-us-philippines-may-start-new-training-mission.html,1245
Count on Canada In War on Terror,2002-12-01,Opinion,http://www.nytimes.com/2002/12/01/opinion/l-count-on-canada-in-war-on-terror-153320.html,144
Saudi Arabia Is Called Slow in Helping Stem the Flow of Cash to Militants,2002-12-01,World; Washington,http://www.nytimes.com/2002/12/01/world/threats-responses-money-trail-saudi-arabia-called-slow-helping-stem-flow-cash.html,1748
NEWS SUMMARY,2002-12-01,New York and Region,http://www.nytimes.com/2002/12/01/nyregion/news-summary-176923.html,691
"After Attack, Kenya Traces Qaeda's Trail in East Africa",2002-12-01,World,http://www.nytimes.com/2002/12/01/world/after-attack-kenya-traces-qaeda-s-trail-in-east-africa.html,1407
Witnesses Describe Their Glimpses of Suspects in Attacks in Kenya,2002-12-02,World; Washington,http://www.nytimes.com/2002/12/02/world/terror-africa-investigation-witnesses-describe-their-glimpses-suspects-attacks.html,1655
U.S. Says Evidence Possibly Ties Al Qaeda to the Attack in Kenya,2002-12-03,Technology; World; Front Page; Washington,http://www.nytimes.com/2002/12/03/world/threats-responses-attacks-us-says-evidence-possibly-ties-al-qaeda-attack-kenya.html,710
New York Says Pill Seller Invoked Terror Case,2002-12-04,U.S.,http://www.nytimes.com/2002/12/04/us/threats-and-responses-inquiry-new-york-says-pill-seller-invoked-terror-case.html,550
An Islamic Reformation,2002-12-04,Opinion,http://www.nytimes.com/2002/12/04/opinion/an-islamic-reformation.html,772
Clinton Says Party Failed Midterm Test Over Security Issue,2002-12-04,Front Page; U.S.,http://www.nytimes.com/2002/12/04/us/clinton-says-party-failed-midterm-test-over-security-issue.html,1381
Saudis Brush Aside Criticism Of Record Against Terrorism,2002-12-04,World; Front Page; Washington,http://www.nytimes.com/2002/12/04/world/threats-responses-arab-ally-saudis-brush-aside-criticism-record-against.html,1123
Threat Attributed to Taliban Leader,2002-12-05,World,http://www.nytimes.com/2002/12/05/world/threats-and-responses-threat-attributed-to-taliban-leader.html,185
When Clinton Lectures His Party,2002-12-05,Opinion,http://www.nytimes.com/2002/12/05/opinion/l-when-clinton-lectures-his-party-238341.html,92
"Federal Agents Raid a Software Company Outside Boston, Seeking Links to Al Qaeda",2002-12-07,Technology; U.S.,http://www.nytimes.com/2002/12/07/us/threats-responses-money-trail-federal-agents-raid-software-company-outside.html,994
"Pearl Harbor Day, 2002",2002-12-07,Opinion,http://www.nytimes.com/2002/12/07/opinion/pearl-harbor-day-2002.html,1488
The World; Does Democracy Help Pakistan?,2002-12-08,Washington; Week in Review,http://www.nytimes.com/2002/12/08/weekinreview/the-world-does-democracy-help-pakistan.html,836
After They Were Stars,2002-12-08,Magazine,http://www.nytimes.com/2002/12/08/magazine/the-way-we-live-now-12-8-02-kids-after-they-were-stars.html,3233
Europeans Fear That the Threat From Radical Islamists Is Increasing,2002-12-08,World,http://www.nytimes.com/2002/12/08/world/threats-responses-terror-network-europeans-fear-that-threat-radical-islamists.html,1366
LAWMAKERS WANT CABINET POSITION FOR INTELLIGENCE,2002-12-08,U.S.,http://www.nytimes.com/2002/12/08/us/threats-responses-congressional-report-lawmakers-want-cabinet-position-for.html,1706
