headline,date,url
American Overseer in Iraq Returns to a Kurdish Zone,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-interim-leader-american-overseer-iraq-returns-kurdish-zone.html
IRAN SAID TO SEND AGENTS INTO IRAQ,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-neighbors-iran-said-to-send-agents-into-iraq.html
Iraqi Shiites Show Their Fervor in City They Hold Holy,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-karbala-iraqi-shiites-show-their-fervor-in-city-they-hold-holy.html
Oil Experts Say U.S. Hasn't Come to Grips With Blueprint for Industry,2003-04-23,http://www.nytimes.com/2003/04/23/business/aftereffects-reconstruction-oil-experts-say-us-hasn-t-come-grips-with-blueprint.html
"Free of Hussein's Rule, Sunnis in North Flaunt A Long-Hidden Piety",2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-mosul-free-hussein-s-rule-sunnis-north-flaunt-long-hidden-piety.html
"In Hotbed of Shiite Emotion, Clerics Jockey for Leadership",2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-karbala-in-hotbed-of-shiite-emotion-clerics-jockey-for-leadership.html
Want to Beat the Enemy? Win the Information War,2003-04-23,http://www.nytimes.com/2003/04/23/books/books-of-the-times-want-to-beat-the-enemy-win-the-information-war.html
'Overreacting' to Terror? The Threat Persists,2003-04-23,http://www.nytimes.com/2003/04/23/opinion/l-overreacting-to-terror-the-threat-persists-384682.html
France Urging U.N. to Suspend Iraq Penalties,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-united-nations-france-urging-un-to-suspend-iraq-penalties.html
Why the Mullahs Love a Revolution,2003-04-23,http://www.nytimes.com/2003/04/23/opinion/why-the-mullahs-love-a-revolution.html
Focus Shifts From Weapons To the People Behind Them,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-the-search-focus-shifts-from-weapons-to-the-people-behind-them.html
Release Set for Man Accused of Spying for North Korea,2003-04-23,http://www.nytimes.com/2003/04/23/us/release-set-for-man-accused-of-spying-for-north-korea.html
"AS BAGHDAD WAITS FOR AID, PASSIONS RISE IN THE SOUTH",2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-the-iraqis-as-baghdad-waits-for-aid-passions-rise-in-the-south.html
G.I.'s and U.S. Civilians Seek a Relationship,2003-04-23,http://www.nytimes.com/2003/04/23/world/aftereffects-the-command-gi-s-and-us-civilians-seek-a-relationship.html
Turning War Into Peace in Iraq,2003-04-23,http://www.nytimes.com/2003/04/23/opinion/l-turning-war-into-peace-in-iraq-384780.html
NEWS SUMMARY,2003-04-23,http://www.nytimes.com/2003/04/23/nyregion/news-summary-383325.html
"Iraqi Family Split on Returned Exile: U.S. Favors Him, but Who Else Does?",2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-loyalties-iraqi-family-split-returned-exile-us-favors-him-but-who.html
"Recovery of Looted Treasures Is a Slow, Agonizing Process",2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-antiquities-recovery-looted-treasures-slow-agonizing-process.html
China Offers Its Help in U.S.-North Korea Nuclear Talks,2003-04-24,http://www.nytimes.com/2003/04/24/world/china-offers-its-help-in-us-north-korea-nuclear-talks.html
Dead in Iraq,2003-04-24,http://www.nytimes.com/2003/04/24/us/aftereffects-dead-in-iraq.html
U.S.-Led Forces Occupy Baghdad Complex Filled With Chemical Agents,2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-search-us-led-forces-occupy-baghdad-complex-filled-with-chemical.html
"Four More Officials Are Captured, Two of Them Intelligence Agents",2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-custody-four-more-officials-are-captured-two-them-intelligence.html
"Is It Art? Maybe Not, but It Is Contraband, Officials Say",2003-04-24,http://www.nytimes.com/2003/04/24/us/aftereffects-customs-is-it-art-maybe-not-but-it-is-contraband-officials-say.html
QUOTATION OF THE DAY,2003-04-24,http://www.nytimes.com/2003/04/24/nyregion/quotation-of-the-day-394033.html
Sports of The Times; New Address For Nets: The Garden?,2003-04-24,http://www.nytimes.com/2003/04/24/sports/sports-of-the-times-new-address-for-nets-the-garden.html
U.S. Tells Iran Not to Interfere In Iraq Efforts,2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-strategy-us-tells-iran-not-to-interfere-in-iraq-efforts.html
Chirac's Latest Ploy,2003-04-24,http://www.nytimes.com/2003/04/24/opinion/chirac-s-latest-ploy.html
U.S. WARNS IRAQIS AGAINST CLAIMING AUTHORITY IN VOID,2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-reconstruction-us-warns-iraqis-against-claiming-authority-in-void.html
"U.S., Angry at French Stance on War, Considers Punishment",2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-retaliation-us-angry-at-french-stance-on-war-considers-punishment.html
Iraqis Tell of a Reign of Torture and Maiming,2003-04-24,http://www.nytimes.com/2003/04/24/world/aftereffects-hussein-s-rule-iraqis-tell-of-a-reign-of-torture-and-maiming.html
Tariq Aziz Finally Emerges From the Elusive Shadows,2003-04-25,http://www.nytimes.com/2003/04/25/world/aftereffects-the-spokesman-tariq-aziz-finally-emerges-from-the-elusive-shadows.html
"Threat Gone, Iraqis Unearth Hussein's Nameless Victims",2003-04-25,http://www.nytimes.com/2003/04/25/world/aftereffects-prison-graveyard-threat-gone-iraqis-unearth-hussein-s-nameless.html
'Marooned in Iraq',2003-04-25,http://www.nytimes.com/2003/04/25/movies/film-in-review-marooned-in-iraq.html
